title,publication_date,source,url,description,ce_areas,ai_technologies,ce_area_count,ai_tech_count,is_classified
5 Cutting-Edge AutoML Techniques to Watch in 2026,2025-12-09T13:00:07Z,Kdnuggets.com,https://www.kdnuggets.com/5-cutting-edge-automl-techniques-to-watch-in-2026,This article discusses five cutting-edge AutoML techniques and trends that are expected to shape the landscape of highly automated machine learning model building in the 2026 year about to start.,Structural,"Robotics/Automation, Machine Learning",1,2,True
Building extraction from remote sensing imagery using SegFormer with post-processing optimization,2025-12-08T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338104,"Traditional methods for building extraction from remote sensing images rely on feature classification techniques, which often suffer from high usage thresholds, cumbersome data processing, slow recognition speeds, and poor adaptability. With the rapid advance…",Structural,Generative Design,1,1,True
Symposium on Forensic and Counter-Forensic Approaches to International Law: Visual Truths and Factual Realities – The Impact of Computational Photography on Legal Evidence,2025-12-08T13:00:21Z,Opiniojuris.org,http://opiniojuris.org/2025/12/08/symposium-on-forensic-and-counter-forensic-approaches-to-international-law-visual-truths-and-factual-realities-the-impact-of-computational-photography-on-legal-evidence/,"[Dr. Akanksha Bisoyi is a post-doctoral researcher at the Professorship of Law, Innovation and Legal Design, Technical University of Munich in Germany]  Introduction Photographs as legal tools for truth-telling reflect the aphorism ‘seeing is believing’. Thes…",Structural,Computer Vision,1,1,True
CellSAM: a foundation model for cell segmentation,2025-12-08T00:00:00Z,Nature.com,https://www.nature.com/articles/s41592-025-02879-w,"CellSAM uses an object detector, CellFinder, to detect cells and prompt the Segment Anything Model (SAM) to generate segmentations. This universal model achieves human-level performance across a range of bioimaging data encompassing mammalian cells, yeast and…","Structural, Geotechnical",Machine Learning,2,1,True
Time-domain optimization based NMPC path tracking control for underground LHD,2025-12-08T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-23311-5,"The path tracking control of underground Load-Haul-Dump (LHD) is essential for reducing operators’ working time in underground environments and enhancing mining efficiency. Existing NMPC-based controllers often exhibit suboptimal performance, such as oscillat…","Structural, Geotechnical",Generative Design,2,1,True
Analysis of cultivated land changes and driving factors in the Alar Reclamation Area (1990–2019) based on multi-temporal Landsat data and machine learning algorithms,2025-12-06T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-29175-z,Scientific Reports - Analysis of cultivated land changes and driving factors in the Alar Reclamation Area (1990–2019) based on multi-temporal Landsat data and machine learning algorithms,Structural,Machine Learning,1,1,True
BAGEL: Protein engineering via exploration of an energy landscape,2025-12-03T14:00:00Z,Plos.org,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1013774,"Author summary Proteins underpin much of modern biotechnology. To harness them, we need practical ways to computationally design sequences that meet clear goals while remaining stable and functional. Recent deep learning methods have boosted success rates, ye…",Structural,Machine Learning,1,1,True
An explainable machine learning framework for multi-objective carbon reduction targeting material operational seasonal emissions in building retrofits,2025-12-02T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-29418-z,Scientific Reports - An explainable machine learning framework for multi-objective carbon reduction targeting material operational seasonal emissions in building retrofits,"Structural, Environmental Engineering",Machine Learning,2,1,True
DDGWizard: Integration of feature calculation resources for analysis and prediction of changes in protein thermostability upon point mutations,2025-12-01T14:00:00Z,Plos.org,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1013783,"Author summary A protein’s ability to maintain its structure under high temperatures, known as thermostability, is critical for many industrial and therapeutic applications and might be affected by genetic mutations. To address the challenge, we built a robus…",Structural,Predictive Analytics,1,1,True
Public feedback analysis on multi-stage emergency management policies using BERTopic-SKEP integrated model,2025-12-01T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-30319-4,Scientific Reports - Public feedback analysis on multi-stage emergency management policies using BERTopic-SKEP integrated model,Structural,Machine Learning,1,1,True
Amazon says to invest $50 bn in US government AI infrastructure,2025-11-29T14:09:42Z,Space Daily,https://www.spacedaily.com/reports/Amazon_says_to_invest_50_bn_in_US_government_AI_infrastructure_999.html,"Washington (AFP) Nov 24, 2025


 Amazon announced on Monday a massive $50 billion investment to expand artificial intelligence and supercomputing capabilities for the US government, positioning the tech giant as a key player in building custom AI technology f…","Structural, Transportation",Machine Learning,2,1,True
Do AI data centres have a PR problem? A look inside a ‘sustainable’ high-tech facility,2025-12-02T12:00:00Z,CBC News,https://www.cbc.ca/news/canada/calgary/data-centre-public-perception-alberta-9.6996740,"As demand for artificial intelligence has soared with the evolution of generative AI, so has the federal government and Alberta’s interest in capitalizing on the AI boom by building data centres like CAL-2. But there’s a disconnect between the province and in…",Structural,Machine Learning,1,1,True
Siemens and Samsung C&T Partner to Drive Next-Generation Infrastructure Projects,2025-11-18T13:23:40Z,POWER magazine,https://www.powermag.com/siemens-and-samsung-ct-partner-to-drive-next-generation-infrastructure-projects/,"The Global partnership agreement combines Samsung C&T’s EPC expertise with Siemens’ leading capabilities in digitalization, electrification, and automation...",Transportation,Robotics/Automation,1,1,True
A virtual platform for automated hybrid organic-enzymatic synthesis planning,2025-11-26T00:00:00Z,Nature.com,https://www.nature.com/articles/s41467-025-65898-3,"The integration of organic and enzymatic synthesis enhances molecule construction efficiency. Here, the authors present ChemEnzyRetroPlanner, an AI-driven platform for automated hybrid synthesis planning, improving synthesis route efficiency and sustainabilit…",Structural,Robotics/Automation,1,1,True
Event-triggered self-regulating integrated PID extreme optimization and fault-tolerant strategy for floating offshore platforms driven by TBG-EDF dual finite-time learning mechanism,2025-11-24T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0337290,Floating offshore platforms (FOPs) face the challenge of anchor chain failures due to their unique operating environments. This directly impacts the platform’s safety and stability. Traditional control methods are often ineffective in addressing anchor chain …,Construction Management,Generative Design,1,1,True
"Trends & Strategies Shaping the Global Smart Polymers Market, 2025-2035, by Type of Polymer, Stimulus, End User and Region Featuring Profiles of 22 Industry Players",2025-12-08T10:17:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/08/3201323/28124/en/Trends-Strategies-Shaping-the-Global-Smart-Polymers-Market-2025-2035-by-Type-of-Polymer-Stimulus-End-User-and-Region-Featuring-Profiles-of-22-Industry-Players.html,"The smart polymers market is expanding due to rising demand for adaptable, stimuli-responsive materials. Key opportunities include applications in biotechnology and medicine, integration with 3D printing for customization, and growth in the automotive and ele…",Structural,Robotics/Automation,1,1,True
NASA to test commercial robotic arm in orbit to advance in space construction,2025-12-04T07:35:36Z,Space Daily,https://www.spacedaily.com/reports/NASA_to_test_commercial_robotic_arm_in_orbit_to_advance_in_space_construction_999.html,"Greenbelt MD (SPX) Dec 04, 2025


NASA and industry partners will fly and operate a commercial robotic arm in low Earth orbit through the Fly Foundational Robots mission set to launch in late 2027. This mission will support development of in space operations …",Structural,Robotics/Automation,1,1,True
"North America $236.55 Bn Tilt Sensor Markets, 2025-2033 by Housing Material Type, Technology, Application, Countries and Company Analysis",2025-12-03T15:43:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/03/3199115/28124/en/North-America-236-55-Bn-Tilt-Sensor-Markets-2025-2033-by-Housing-Material-Type-Technology-Application-Countries-and-Company-Analysis.html,"The North American tilt sensor market is projected to grow from US$ 96.47 million in 2024 to US$ 236.55 million by 2033, with a CAGR of 10.48% from 2025 to 2033. Key growth drivers include technological advancements, rising demand for automation, and precisio…",Structural,Robotics/Automation,1,1,True
Hyundai Motor Group Unveils Production-Ready Autonomous Mobility Robot Platform ‘MobED’ at iREX 2025,2025-12-03T03:30:09Z,CleanTechnica,https://cleantechnica.com/2025/12/02/hyundai-motor-group-unveils-production-ready-autonomous-mobility-robot-platform-mobed-at-irex-2025/,"MobED, Hyundai Motor Group Robotics LAB’s first mass-produced mobility robot platform, is designed for diverse industrial and everyday applications MobED debuts an innovative approach to robotics functionality, defined by Adaptive Mobility (H/W), Intuitive Au…",Transportation,Robotics/Automation,1,1,True
NASA’s Fly Foundational Robots Demo to Bolster In-Space Infrastructure,2025-12-02T19:36:43Z,NASA,https://www.nasa.gov/centers-and-facilities/goddard/nasas-fly-foundational-robots-demo-to-bolster-in-space-infrastructure/,"NASA and industry partners will fly and operate a commercial robotic arm in low Earth orbit through the Fly Foundational Robots mission set to launch in late 2027. This mission aims to revolutionize in-space operations, a critical capability for sustainably l…",Transportation,Robotics/Automation,1,1,True
"Fearing AI job losses, some young workers in Britain shift towards skilled trades",2025-12-02T07:42:46Z,The Times of India,https://economictimes.indiatimes.com/tech/artificial-intelligence/fearing-ai-job-losses-some-young-workers-in-britain-shift-towards-skilled-trades/articleshow/125713040.cms,"Facing AI-driven job uncertainty, many young Brits are turning to skilled trades for stable careers. White-collar jobs are being viewed as more vulnerable to disruption by AI and automation than manual labour. Colleges report rising enrolments in construction…",Structural,Robotics/Automation,1,1,True
"Gravis Robotics, which adds cameras, sensors, and AI to heavyweight construction machines so they can operate autonomously, raised $23M led by IQ and Zacua",2025-11-28T12:18:13Z,Biztoc.com,https://biztoc.com/x/1b35aa56028b89e9,,Structural,Robotics/Automation,1,1,True
"Trends & Strategies Driving the Thermoforming Plastic Market, 2025-2032 - Growth in Sustainability Initiatives and Advancements in Automation are Reshaping Supply Chains and Operational Models",2025-12-15T10:23:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/15/3205219/28124/en/Trends-Strategies-Driving-the-Thermoforming-Plastic-Market-2025-2032-Growth-in-Sustainability-Initiatives-and-Advancements-in-Automation-are-Reshaping-Supply-Chains-and-Operational.html,"Dublin, Dec. 15, 2025 (GLOBE NEWSWIRE) -- The ""Thermoforming Plastic Market - Global Forecast 2025-2032"" report has been added to ResearchAndMarkets.com's offering.",Environmental Engineering,Robotics/Automation,1,1,True
"Digital Marketing for Home Builders | Web Design, SEO & Ads",2025-12-09T03:33:40Z,Antares.systems,https://www.antares.systems/digital-marketing-home-builders,"Attract more clients with AI-powered marketing strategies for home builders. Custom web design, SEO, Google Ads, and automated follow-up that deliver real results.",Structural,Robotics/Automation,1,1,True
"Global Plastics Market Outlook Report 2025-2035 - Innovations in Bioplastics, Smart Polymers, and Automation Set to Elevate Operational Efficiency and Mitigate Environmental Impacts",2025-12-08T10:28:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/08/3201329/28124/en/Global-Plastics-Market-Outlook-Report-2025-2035-Innovations-in-Bioplastics-Smart-Polymers-and-Automation-Set-to-Elevate-Operational-Efficiency-and-Mitigate-Environmental-Impacts.html,"The plastics market presents significant growth opportunities through the rising demand for eco-friendly materials, such as bioplastics and recyclable options. Advancements in processing technologies and automation further drive market expansion. Segment oppo…","Structural, Environmental Engineering",Robotics/Automation,2,1,True
48% Usage Gap Shows Why Virtual Cards Still Lag Adoption,2025-12-05T09:00:39Z,pymnts.com,https://www.pymnts.com/news/b2b-payments/2025/48percent-usage-gap-shows-why-virtual-cards-still-lag-adoption/,"Companies may be chasing automation, but late payments and cash flow strain are pushing a deeper shift in how finance teams think about modern payables. The persistent drag of manual processing is creating unexpected momentum for virtual cards, which could re…",Structural,Robotics/Automation,1,1,True
Concrete Paving Equipment Industry Report 2025: Market to Reach $1.8 Billion by 2030 - Rising Investments in Urban Road Networks and Smart Infrastructure Drives Demand,2025-12-04T15:41:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/04/3200046/28124/en/Concrete-Paving-Equipment-Industry-Report-2025-Market-to-Reach-1-8-Billion-by-2030-Rising-Investments-in-Urban-Road-Networks-and-Smart-Infrastructure-Drives-Demand.html,"Key market opportunities in the Concrete Paving Equipment sector include rising global infrastructure investments, especially in emerging markets, driving demand for advanced paving technology. Technological advancements, such as automated and eco-friendly ma…","Structural, Transportation",Robotics/Automation,2,1,True
"United States Waterjet Cutting Machine Market Report 2025-2033: Analysis by Type, Product Type, Horsepower, Machine Size, Application, Key States and Competitive Landscape",2025-12-03T16:40:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/03/3199170/28124/en/United-States-Waterjet-Cutting-Machine-Market-Report-2025-2033-Analysis-by-Type-Product-Type-Horsepower-Machine-Size-Application-Key-States-and-Competitive-Landscape.html,"The United States waterjet cutting machine market is set to grow from US$ 305.58 Million in 2024 to US$ 399.76 Million by 2033, at a CAGR of 3.03%. Driven by automation and precision engineering, the market thrives in aerospace, automotive, and metal fabricat…",Structural,Robotics/Automation,1,1,True
"Rock Duster Industry Research Report 2025: Market to Reach $812.81 Million by 2030, Driven by Stringent Mining Safety Regulations and Growing Underground Mining Activity",2025-12-02T15:39:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/02/3198218/28124/en/Rock-Duster-Industry-Research-Report-2025-Market-to-Reach-812-81-Million-by-2030-Driven-by-Stringent-Mining-Safety-Regulations-and-Growing-Underground-Mining-Activity.html,"Key opportunities in the Global Rock Duster Market include leveraging stringent mining safety regulations and the ongoing growth of underground mining. Embracing automation and remote control trends can enhance operational efficiency and safety. However, addr…","Construction Management, Geotechnical",Robotics/Automation,2,1,True
Trends in Artificial Intelligence (AI) in the Packaging Design Market,2025-12-15T14:18:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/15/3205527/0/en/Trends-in-Artificial-Intelligence-AI-in-the-Packaging-Design-Market.html,"As highlighted by Towards Packaging research, the global artificial intelligence (AI) in the packaging design market, valued at USD 126.43 billion in 2025, is expected to reach USD 326.15 billion by 2034, registering a CAGR of 9.94% throughout the forecast pe…",Structural,Machine Learning,1,1,True
Superior transplant recipient outcome prediction and pathology assessment using rapid deep learning applied to procurement kidney biopsies,2025-12-14T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-31667-x,Scientific Reports - Superior transplant recipient outcome prediction and pathology assessment using rapid deep learning applied to procurement kidney biopsies,Construction Management,"Machine Learning, Predictive Analytics",1,2,True
Metal Injection Molding (MIM) Industry Size to Double by 2032 Reaching $11.35 Billion - Rapid Adoption of Micro MIM for Next-Generation Medical Implant Components,2025-12-12T15:45:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/12/3204772/28124/en/Metal-Injection-Molding-MIM-Industry-Size-to-Double-by-2032-Reaching-11-35-Billion-Rapid-Adoption-of-Micro-MIM-for-Next-Generation-Medical-Implant-Components.html,"The metal injection molding market presents key opportunities through innovation in additive manufacturing, sustainable materials, and digital controls. Its growth spans sectors like electronics, medical devices, and aerospace, driven by advanced process effi…",Structural,Robotics/Automation,1,1,True
AI critical to unlocking AfCFTA’s $3.4tn market –Don,2025-12-12T00:35:45Z,The Punch,https://punchng.com/ai-critical-to-unlocking-afcftas-3-4tn-market-don/,"Discover how AI is critical to the AfCFTA’s success. Learn how artificial intelligence is reshaping African trade, logistics, and finance to unlock a $3.4t

Read More: https://punchng.com/ai-critical-to-unlocking-afcftas-3-4tn-market-don/",Transportation,Machine Learning,1,1,True
Breaking the Jar: Hardening Pickle File Scanners with Structure-Aware Fuzzing,2025-12-12T00:20:21Z,Cisco.com,https://blogs.cisco.com/ai/hardening-pickle-file-scanners,"Artificial intelligence and machine learning (AI/ML) models are increasingly shared across organizations, fine-tuned, and deployed in production systems. Cisco’s AI Defense offering includes a model file scanning tool designed to help organizations detect and…",Structural,Machine Learning,1,1,True
Real-time concrete strength monitoring using piezoelectric sensors and deep learning,2025-12-12T00:00:00Z,Nature.com,https://www.nature.com/articles/s41467-025-67168-8,"Traditional concrete testing can be labour-intensive and limited in accuracy, consistency, and real-time applicability. The study uses piezoelectric sensors and deep learning for real-time monitoring of concrete strength, interpreting signals to achieve accur…",Structural,Machine Learning,1,1,True
A unified multi-task learning framework for automated assessment of left ventricular structure and its systolic function from echocardiography,2025-12-12T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-31773-w,The manual assessment of Left Ventricular (LV) structure and its systolic function from echocardiography is fundamental for cardiovascular diagnosis but is often time-consuming and subject to inter-observer variability. While deep learning has advanced the au…,Structural,"Robotics/Automation, Machine Learning",1,2,True
SuperCircle raises $24M+ to scale AI-driven textile waste platform,2025-12-10T14:00:04Z,SiliconANGLE News,https://siliconangle.com/2025/12/10/supercircle-raises-24m-scale-ai-driven-textile-waste-platform/,"Artificial intelligence-powered textile waste management platform SuperCircle revealed today that it has raised more than $24 million in new funding. The round will be used to accelerate development of its AI platform, expand supply chain integrations, grow i…",Environmental Engineering,Machine Learning,1,1,True
Improved predictive formulae for wave overtopping at sloped breakwaters using interpretable machine learning models,2025-12-10T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0337830,"Accurate prediction of mean wave overtopping discharge is essential for the safe and cost-effective design of coastal defence structures. While traditional empirical, physical, and numerical models remain important, Machine Learning (ML) has recently emerged …",Structural,"Machine Learning, Predictive Analytics",1,2,True
OpenAI: AI Business Adoption Soars as Employees Save Over an Hour Daily,2025-12-09T20:53:59Z,pymnts.com,https://www.pymnts.com/artificial-intelligence-2/2025/openai-ai-business-adoption-soars-as-employees-save-over-an-hour-daily/,"The era of artificial intelligence (AI) experimentation in business is officially over. A new report from OpenAI, “The state of enterprise AI 2025,” released Monday (Dec. 8), doesn’t just chronicle growth; it signals a structural pivot where generative AI is …",Structural,Machine Learning,1,1,True
First-principles and machine learning investigation of the structural and optoelectronic properties of dodecaphenylyne: a novel carbon allotrope,2025-12-15T00:00:00Z,Royal Society of Chemistry,https://pubs.rsc.org/en/content/articlelanding/2026/nr/d5nr02744f,"Nanoscale, 2026, Advance ArticleDOI: 10.1039/D5NR02744F, PaperKleuton A. L. Lima, José A. S. Laranjeira, Nicolas F. Martins, Julio R. Sambrano, Alexandre C. Dias, Luiz A. Ribeiro Junior, Douglas S. GalvãoDodecaphenylyne (DP), a novel 2D carbon allotrope, comb…","Structural, Environmental Engineering",Machine Learning,2,1,True
Computation suggests that the cell adhesion sub-proteome is enriched for sites of pH-dependence and charge burial,2025-12-09T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338186,"Prediction of protein pH-dependence is generally made for individual proteins or pathways, and is also increasingly being used to aid protein functional design. Combining high-throughput pKa prediction methods with AlphaFold models allows pH-dependence to be …",Structural,Predictive Analytics,1,1,True
Nominal elastic modulus assessment in 3D-printed components under varying printing parameters using Bayesian methods and random forest surrogate modeling,2025-12-05T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338204,"The expanding range of materials available for 3D printing is driving its widespread adoption in advanced fields. As 3D printing becomes increasingly prevalent in the manufacturing of industrial components, its advantages in accommodating complex geometries a…",Structural,Robotics/Automation,1,1,True
Artificial intelligence foundation model automates cryo-EM structure determination,2025-12-01T00:00:00Z,Nature.com,https://www.nature.com/articles/s41592-025-02917-7,"We introduce the Cryo-EM Image Evaluation Foundation (Cryo-IEF) model, which has been pretrained on 65 million particle images in an unsupervised manner. Cryo-IEF excels in diverse cryogenic electron microscopy data-processing tasks; it automates the complex …","Structural, Geotechnical",Machine Learning,2,1,True
A comprehensive foundation model for cryo-EM image processing,2025-11-27T00:00:00Z,Nature.com,https://www.nature.com/articles/s41592-025-02916-8,"Cryo-IEF is a pre-trained foundation model for performing diverse image-processing tasks in single-particle cryo-EM. CryoWizard, enabled by Cryo-IEF, is a fully automated cryo-EM processing pipeline.","Structural, Geotechnical","Robotics/Automation, Machine Learning, Computer Vision",2,3,True
India’s GCCs turn key testing ground for agentic AI ideas,2025-12-01T00:30:00Z,The Times of India,https://economictimes.indiatimes.com/tech/artificial-intelligence/indias-gccs-turn-key-testing-ground-for-agentic-ai-ideas/articleshow/125678088.cms,"India’s global capability centres (GCCs) are rapidly adopting agentic AI, shifting from cost-focused hubs to innovation and product engineering centres. Investments in AI, talent upskilling, and automation are driving live deployments in various sectors. As a…",Geotechnical,Robotics/Automation,1,1,True
Harnessing artificial intelligence to advance CRISPR-based genome editing technologies,2025-11-18T00:00:00Z,Nature.com,https://www.nature.com/articles/s41576-025-00907-1,"CRISPR-based genome editing has revolutionized biotechnology, enabling precise DNA modifications for research and therapy. The authors review how artificial intelligence, including deep learning, is advancing genome editing by improving guide RNA design, edit…",Structural,Machine Learning,1,1,True
Latent space-based network analysis for brain–behavior linking in neuroimaging,2025-12-04T00:00:00Z,Nature.com,https://www.nature.com/articles/s41592-025-02896-9,LatentSNA is a method for network analysis in human neuroimaging. It facilitates linking neural activity with behavior and improves biomarker prediction by reducing type II errors.,Structural,Predictive Analytics,1,1,True
Bridging Scales: Machine Learning for the Rational Design and Modelling of Shape Memory Polymers,2025-12-02T00:00:00Z,Royal Society of Chemistry,https://pubs.rsc.org/en/content/articlelanding/2025/sm/d5sm00980d,"Soft Matter, 2025, Accepted ManuscriptDOI: 10.1039/D5SM00980D, Perspective Open Access &nbsp This article is licensed under a Creative Commons Attribution 3.0 Unported Licence.Cheng Yan, Giulia ScaletShape memory polymers (SMPs) are a class of stimuli-respons…",Structural,Machine Learning,1,1,True
Learning robust controllers that work across many partially observable environments,2025-11-27T10:03:14Z,Robohub.org,https://robohub.org/learning-robust-controllers-that-work-across-many-partially-observable-environments/,"In intelligent systems, applications range from autonomous robotics to predictive maintenance problems. To control these systems, the essential aspects are captured with a model. When we design controllers for these models, we almost always face the same chal…",Structural,"Robotics/Automation, Machine Learning",1,2,True
Universal scale-free representations in human visual cortex,2025-11-21T14:00:00Z,Plos.org,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1013714,"Author summary The human cerebral cortex is thought to encode sensory information in population activity patterns, but the statistical structure of these population codes has yet to be characterized. By examining large-scale neuroimaging recordings of human v…",Structural,Computer Vision,1,1,True
Structure-enhanced graph meta learning for few-shot gene regulatory network inference,2025-11-20T00:00:00Z,Biomedcentral.com,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-025-03860-8,"Inferring gene regulatory networks (GRNs) is essential for understanding biological regulation. Although numerous deep learning approaches have been developed for GRN inference, most require large amounts of labeled data. We present Meta-TGLink, a structure-e…",Structural,Machine Learning,1,1,True
KAN-GLNet: An enhanced PointNet++ model for canola silique segmentation and counting,2025-11-17T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0336622,"Accurate analysis of plant phenotypic traits is crucial for crop breeding and precision agriculture. This study proposes a lightweight semantic segmentation model named KAN-GLNet (Kolmogorov–Arnold Network with Global–Local Feature Modulation), based on an en…",Structural,Machine Learning,1,1,True
"Jennifer Lewis ScD ’91: “Can we make tissues that are made from you, for you?”",2025-12-09T22:20:00Z,Mit.edu,https://news.mit.edu/2025/jennifer-lewis-dresselhaus-lecture-printing-soft-and-living-matter-1209,"In the 2025 Dresselhaus Lecture, the materials scientist describes her work 3D printing soft materials ranging from robots to human tissues.",Structural,Robotics/Automation,1,1,True
India’s robot workforce in terra incognita,2025-12-08T01:46:00Z,BusinessLine,https://www.thehindubusinessline.com/specials/emerging-entrepreneurs/indias-robot-workforce-in-terra-incognita/article70365056.ece,"As labour shortages intensify, safety standards rise, and precision becomes non-negotiable, automation is no longer futuristic.",Construction Management,Robotics/Automation,1,1,True
Bio-hybrid robots turn food waste into functional machines,2025-12-07T03:53:26Z,Space Daily,https://www.spacedaily.com/reports/Bio_hybrid_robots_turn_food_waste_into_functional_machines_999.html,"Lausanne Switzerland (SPX) Dec 05, 2025


EPFL scientists have integrated discarded crustacean shells into robotic devices, leveraging the strength and flexibility of natural materials for robotic applications. 

Although many roboticists today turn to nature…",Structural,Robotics/Automation,1,1,True
RLWRLD Partners with Microsoft to Accelerate Global Innovation in Industrial Robotics AI,2025-11-26T14:00:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/11/26/3195174/0/en/RLWRLD-Partners-with-Microsoft-to-Accelerate-Global-Innovation-in-Industrial-Robotics-AI.html,"The partnership leverages Microsoft Azure to scale robotics AI model development and performance, with joint proof-of-concept deployments and market expansion planned across manufacturing, logistics, and hospitality sectors in Asia. The partnership leverages …",Transportation,"Robotics/Automation, Machine Learning",1,2,True
