id,title,description,url,source,publication_date,abstract,ce_areas,ai_technologies,cleaned_text
11,Michigan Regulators Approve State’s First Hyperscale Data Center,"Despite criticism that they were acting too fast, state utility regulators last week approved DTE Energy’s proposal to supply power for Michigan’s first hyperscale data center — while tacking on a host of conditions that aim to protect ratepayers from …",https://www.insurancejournal.com/news/midwest/2025/12/23/852128.htm,Insurance Journal,2025-12-23 15:28:32,"Michigan regulators approved DTE Energy's plan for the state's first hyperscale data center, despite concerns about the pace. The decision includes conditions to safeguard ratepayers.","['Construction Management', 'Infrastructure', 'Energy Infrastructure']",['Predictive Analytics'],michigan regulators approve state first hyperscale data center despite criticism acting too fast state utility regulators last week approved dte energy proposal supply power michigan first hyperscale data center while tacking host conditions aim protect ratepayers michigan regulators approved dte energy plan state first hyperscale data center despite concerns about pace decision includes conditions safeguard ratepayers
12,"CPP, Goodman to invest US$2.6 billion in European data centres",The Canada Pension Plan Investment Board and Australia’s Goodman Group agreed to set up a multibillion dollar data centre business. Read on,https://financialpost.com/fp-finance/cpp-invests-in-european-data-centers,Financial Post,2025-12-23 15:17:38,The Canada Pension Plan Investment Board and Australia’s Goodman Group are investing US$2.6 billion in a European data centre business.,['Construction Management'],['Predictive Analytics'],cpp goodman invest billion european data centres canada pension plan investment board australia goodman group agreed set multibillion dollar data centre business canada pension plan investment board australia goodman group investing billion european data centre business
13,"Jet.AI Inc. JV for 50MW Data Center Campus in Moapa, Nevada","50MW data center estimated enterprise value of ~$500MM  LAS VEGAS, NV, Dec.  23, 2025  (GLOBE NEWSWIRE) -- Jet.AI Inc. (NASDAQ: JTAI) (“Jet.AI” or the...",https://www.globenewswire.com/news-release/2025/12/23/3209946/0/en/Jet-AI-Inc-JV-for-50MW-Data-Center-Campus-in-Moapa-Nevada.html,GlobeNewswire,2025-12-23 14:15:00,"Jet.AI Inc. partners for a 50MW data center in Moapa, Nevada, with an estimated value of about $500 million. The collaboration aims to establish a significant data center campus in the region.","['Construction Management', 'Infrastructure']",['Predictive Analytics'],jet inc 50mw data center campus moapa nevada 50mw data center estimated enterprise value 500mm las vegas dec 2025 globe newswire jet inc nasdaq jtai jet jet inc partners 50mw data center moapa nevada estimated value about 500 million collaboration aims establish significant data center campus region
14,14 Incheon Innovators Win 17 CES 2026 Innovation Awards,"Announced ahead of CES 2026 by the show organizer, the Consumer Technology Association (CTA) Secured 17 awards, including Best of Innovation in Artificial Intelligence (AI). Incheon’s innovative companies recognized on the global stage for technological excel…",https://financialpost.com/pmn/business-wire-news-releases-pmn/14-incheon-innovators-win-17-ces-2026-innovation-awards,Financial Post,2025-12-23 14:07:26,"Incheon innovators won 17 CES 2026 Innovation Awards, including Best of Innovation in Artificial Intelligence (AI). The awards highlight the technological excellence of Incheon's companies on a global scale.",['Construction Management'],"['Artificial Intelligence', 'Robotics/Automation']",incheon innovators win ces 2026 innovation awards announced ahead ces 2026 show organizer consumer technology association cta secured awards including best innovation artificial intelligence incheon innovative companies recognized global stage technological excel incheon innovators won ces 2026 innovation awards including best innovation artificial intelligence awards highlight technological excellence incheon companies global scale
15,Impact of excessive environmental information disclosure on stock price crash risk,"With the deepening of carbon peak and carbon neutrality (“dual carbon”) initiatives, corporate responsibility for environmental information disclosure has become imperative. However, due to imperfect laws and regulations, companies may have incentives to over…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338808,Plos.org,2025-12-23 14:00:00,"This article explores the impact of excessive environmental information disclosure on stock price crash risk, particularly in the context of increasing emphasis on carbon peak and carbon neutrality initiatives. Companies face incentives to over-disclose environmental information due to regulatory gaps. Understanding this relationship is crucial for assessing corporate responsibility and managing stock price volatility in the face of evolving environmental regulations.",['Environmental Engineering'],['Predictive Analytics'],impact excessive environmental information disclosure stock price crash risk deepening carbon peak carbon neutrality dual carbon initiatives corporate responsibility environmental information disclosure become imperative however due imperfect laws regulations companies incentives over explores impact excessive environmental information disclosure stock price crash risk particularly context increasing emphasis carbon peak carbon neutrality initiatives companies face incentives over disclose environmental information due regulatory gaps understanding relationship crucial assessing corporate responsibility managing stock price volatility face evolving environmental regulations
16,Foresight Expands Road Safety Product Outreach in South Korea with a Strategic Cooperation Agreement,"Ness Ziona, Israel, Dec. 23, 2025 (GLOBE NEWSWIRE) -- Foresight Autonomous Holdings Ltd. (Nasdaq and TASE: FRSX) (“Foresight” or the “Company”), an innovator in 3D perception systems, announced today entering into a multi-phase strategic cooperation agreement…",https://www.globenewswire.com/news-release/2025/12/23/3209857/0/en/Foresight-Expands-Road-Safety-Product-Outreach-in-South-Korea-with-a-Strategic-Cooperation-Agreement.html,GlobeNewswire,2025-12-23 13:05:00,Foresight Autonomous Holdings Ltd. expands road safety product outreach in South Korea through a strategic cooperation agreement. The agreement marks a significant step for the company in enhancing its presence and collaboration in the region.,['Transportation'],['Computer Vision'],foresight expands road safety product outreach south korea strategic cooperation agreement ness ziona israel dec 2025 globe newswire foresight autonomous holdings ltd nasdaq tase frsx foresight company innovator perception systems announced today entering into multi phase strategic cooperation agreement foresight autonomous holdings ltd expands road safety product outreach south korea through strategic cooperation agreement agreement marks significant step company enhancing its presence collaboration region
17,"ZenaTech Closes Acquisition of Vara 3D, a Utah-Based Surveying and Mapping Firm Expanding Drone-as-a-Service to the High-Growth Solar Infrastructure Market","VANCOUVER, British Columbia, Dec. 23, 2025 (GLOBE NEWSWIRE) — ZenaTech, Inc. (Nasdaq: ZENA) (FSE: 49Q) (BMV: ZENA) (“ZenaTech”), a technology business solutions company specializing in AI (Artificial Intelligence) drone, Drone as a Service (DaaS), enterprise …",https://financialpost.com/globe-newswire/zenatech-closes-acquisition-of-vara-3d-a-utah-based-surveying-and-mapping-firm-expanding-drone-as-a-service-to-the-high-growth-solar-infrastructure-market,Financial Post,2025-12-23 13:01:12,"ZenaTech acquires Vara 3D, a Utah surveying and mapping firm, to expand drone services into the solar infrastructure market. This move enhances ZenaTech's AI drone capabilities and Drone-as-a-Service offerings.","['Transportation', 'Construction Management']","['Computer Vision', 'Robotics/Automation']",zenatech closes acquisition vara utah based surveying mapping firm expanding drone service high growth solar infrastructure market vancouver british columbia dec 2025 globe newswire zenatech inc nasdaq zena fse 49q bmv zena zenatech technology business solutions company specializing artificial intelligence drone drone service daas enterprise zenatech acquires vara utah surveying mapping firm expand drone services into solar infrastructure market move enhances zenatech drone capabilities drone service offerings
18,Trump’s Latest Climate Attack: Offshore Wind Farms,"This story was originally published by the Guardianand is reproduced here as part of the Climate Desk collaboration.The Trump administration has said it is immediately pausing all leases for offshore wind farms already under construction, in the heaviest blow…",https://www.motherjones.com/politics/2025/12/trumps-latest-climate-attack-offshore-wind-farms/,Mother Jones,2025-12-23 12:30:00,"The Trump administration has halted leases for offshore wind farms under construction, impacting the renewable energy sector.",['Environmental Engineering'],[],trump latest climate attack offshore wind farms story originally published guardianand reproduced part climate desk collaboration trump administration said immediately pausing all leases offshore wind farms already under construction heaviest blow trump administration halted leases offshore wind farms under construction impacting renewable energy sector
19,"Trump Freezes $10bn Wind Farms in Security Row, Jeopardising Power for 600,000 Homes","Trump paused five major offshore wind projects worth billions, including Virginia's largest renewable energy scheme, citing Pentagon radar concerns.",https://www.ibtimes.com/trump-freezes-10bn-wind-farms-security-row-jeopardising-power-600000-homes-3793516,International Business Times,2025-12-23 11:45:18,"Trump halted $10bn wind farm projects, including Virginia's largest renewable energy plan, due to Pentagon radar worries, impacting power for 600,000 homes.","['Environmental Engineering', 'Energy Infrastructure']",['Predictive Analytics'],trump freezes 10bn wind farms security row jeopardising power 600 000 homes trump paused five major offshore wind projects worth billions including virginia largest renewable energy scheme citing pentagon radar concerns trump halted 10bn wind farm projects including virginia largest renewable energy plan due pentagon radar worries impacting power 600 000 homes
20,"US freezes five big offshore wind projects, shares dive","The Trump administration has suspended leases for five large offshore wind projects that are under construction off the US East Coast over what it called national security concerns, sending shares of offshore wind companies plunging.",https://www.rte.ie/news/business/2025/1223/1550297-us-freezes-five-big-offshore-wind-projects-shares-dive/,RTE,2025-12-23 08:59:12,"The Trump administration has frozen five major offshore wind projects along the US East Coast due to national security concerns, causing a decline in offshore wind companies' shares.","['Construction Management', 'Infrastructure Development']",['Predictive Analytics'],freezes five big offshore wind projects shares dive trump administration suspended leases five large offshore wind projects under construction off east coast over what called national security concerns sending shares offshore wind companies plunging trump administration frozen five major offshore wind projects along east coast due national security concerns causing decline offshore wind companies shares
21,7 reasons to feel actually hopeful about the clean energy transition,"It’s been a rough year if you care about climate change policy in the United States. In Washington, the second Trump administration has moved quickly to dismantle the scaffolding of federal climate action: pulling the US out of the Paris Agreement (again), fr…",https://www.vox.com/climate/473138/clean-energy-transition-trump-solar-2025-batteries-renewables-evs,Vox,2025-12-23 06:26:14,"The article discusses seven reasons to be hopeful about the clean energy transition despite setbacks in US climate policy under the second Trump administration. It highlights positive developments such as declining costs of renewable energy, increased corporate commitments to sustainability, and growing public support for climate action. The article emphasizes the importance of these factors in driving progress towards a cleaner and more sustainable energy future.",['Environmental Engineering'],[],reasons feel actually hopeful about clean energy transition rough year care about climate change policy united states washington second trump administration moved quickly dismantle scaffolding federal climate action pulling out paris agreement again discusses seven reasons hopeful about clean energy transition despite setbacks climate policy under second trump administration highlights positive developments such declining costs renewable energy increased corporate commitments sustainability growing public support climate action emphasizes importance factors driving progress towards cleaner sustainable energy future
22,Malaysia’s AI data center boom: A strategic play amid global tech rivalry,"Johor, Malaysia, has evolved from an agricultural/manufacturing region into Asia’s fastest-growing AI infrastructure hub in just three years, attracting U.S. and Chinese tech giants with over 900MW of data center capacity—a milestone Singapore took a decade t…",https://www.naturalnews.com/2025-12-23-malaysia-ai-data-center-boom-a-strategic-play.html,Naturalnews.com,2025-12-23 06:00:00,"Johor, Malaysia has rapidly transformed into Asia's leading AI infrastructure hub, boasting over 900MW of data center capacity within three years. This growth has attracted major U.S. and Chinese tech companies, positioning Malaysia strategically amidst global tech competition.","['Construction Management', 'Infrastructure']","['Predictive Analytics', 'Robotics/Automation']",malaysia data center boom strategic play amid global tech rivalry johor malaysia evolved agricultural manufacturing region into asia fastest growing infrastructure hub just three years attracting chinese tech giants over 900mw data center capacity milestone singapore took decade johor malaysia rapidly transformed into asia leading infrastructure hub boasting over 900mw data center capacity within three years growth attracted major chinese tech companies positioning malaysia strategically amidst global tech competition
23,Trump Announces New Navy Battleships Named After Himself,"The ""Trump Class"" vessel will be the ""largest, deadliest, and most versatile and best-looking warship,"" according to Navy Secretary John Phelan.",https://www.huffpost.com/entry/trump-navy-battleships_n_6949d385e4b0c3ddb22355b7,HuffPost,2025-12-23 01:11:07,"The article discusses the announcement of new Navy battleships named after Trump, known as the ""Trump Class"" vessels. Navy Secretary John Phelan describes them as the largest, deadliest, most versatile, and best-looking warships.","['Structural', 'Construction Management']",[],trump announces new navy battleships named after himself trump class vessel largest deadliest most versatile best looking warship according navy secretary john phelan discusses announcement new navy battleships named after trump known trump class vessels navy secretary john phelan describes them largest deadliest most versatile best looking warships
24,"A.I. demand won’t depend on ‘chips,’ it’ll depend on electricity","Analyst: 'By July 2026, the first major US tech company will announce an AI facility in a foreign country citing power constraints'",https://www.wnd.com/2025/12/i-demand-wont-depend-chips-itll-depend-electricity/,Wnd.com,2025-12-22 23:11:51,"The article discusses how the demand for artificial intelligence (A.I.) will be more reliant on electricity availability rather than hardware components like chips. An analyst predicts that by July 2026, a major U.S. tech company will establish an A.I. facility in a foreign country due to power constraints. This highlights the increasing importance of sufficient electricity supply for the growth and development of A.I. technologies.",['Energy Infrastructure'],['Predictive Analytics'],demand won depend chips depend electricity analyst july 2026 first major tech company announce facility foreign country citing power constraints discusses how demand artificial intelligence reliant electricity availability rather than hardware components chips analyst predicts july 2026 major tech company establish facility foreign country due power constraints highlights increasing importance sufficient electricity supply growth development technologies
25,Alphabet Acquiring Data Center Firm Intersect,"Google’s parent company is set to acquire Intersect, a company providing data center and energy infrastructure solutions. The $4.75 billion deal is designed to allow more artificial intelligence (AI) data center and generation capacity to come online more qui…",https://www.pymnts.com/acquisitions/2025/alphabet-acquiring-data-center-firm-intersect/,pymnts.com,2025-12-22 21:46:11,"Alphabet, Google's parent company, is acquiring Intersect, a data center and energy infrastructure firm, in a $4.75 billion deal. This acquisition aims to boost artificial intelligence (AI) capabilities by expanding data center and generation capacity. The move highlights Alphabet's strategic investment in enhancing AI technologies through increased infrastructure support, potentially shaping the future of data processing and energy efficiency in tech industry operations.","['Infrastructure', 'Energy Infrastructure']",['Predictive Analytics'],alphabet acquiring data center firm intersect google parent company set acquire intersect company providing data center energy infrastructure solutions billion deal designed allow artificial intelligence data center generation capacity come online qui alphabet google parent company acquiring intersect data center energy infrastructure firm billion deal acquisition aims boost artificial intelligence capabilities expanding data center generation capacity move highlights alphabet strategic investment enhancing technologies through increased infrastructure support potentially shaping future data processing energy efficiency tech industry operations
26,Global Times: 'Five imperatives' outlined at CEWC underscore maturity and resolve of China's economic governance philosophy: economist,"China’s 2025 CEWC outlined priorities for high-quality growth, innovation and reform, guiding stable development and a strong start to the 15th Five-Year Plan. China’s 2025 CEWC outlined priorities for high-quality growth, innovation and reform, guiding stabl…",https://www.globenewswire.com/news-release/2025/12/22/3209564/0/en/Global-Times-Five-imperatives-outlined-at-CEWC-underscore-maturity-and-resolve-of-China-s-economic-governance-philosophy-economist.html,GlobeNewswire,2025-12-22 21:28:00,"China's 2025 CEWC priorities for high-quality growth, innovation, and reform demonstrate maturity and resolve in economic governance philosophy. The outlined imperatives guide stable development and a strong start to the 15th Five-Year Plan, emphasizing China's economic direction and strategies.","['Infrastructure', 'Construction Management', 'Transportation']",['Predictive Analytics'],global times five imperatives outlined cewc underscore maturity resolve china economic governance philosophy economist china 2025 cewc outlined priorities high quality growth innovation reform guiding stable development strong start 15th five year plan china 2025 cewc outlined priorities high quality growth innovation reform guiding stabl china 2025 cewc priorities high quality growth innovation reform demonstrate maturity resolve economic governance philosophy outlined imperatives guide stable development strong start 15th five year plan emphasizing china economic direction strategies
27,Trump Enters the Race for Fusion Power,"Shares of Trump Media & Technology Group Corp. (NYSE:DJT) have surged nearly 70% after the company agreed to merge with fusion startup TAE Technologies in a $6 billion deal. Under the terms of the deal, shareholders of each company will own roughly half of th…",https://oilprice.com/Alternative-Energy/Nuclear-Power/Trump-Enters-the-Race-for-Fusion-Power.html,OilPrice.com,2025-12-22 21:00:00,Shares of Trump Media & Technology Group Corp. (NYSE:DJT) rose by almost 70% following a $6 billion merger agreement with fusion startup TAE Technologies. The deal will result in shareholders of both companies owning approximately half of the new entity.,['Energy Infrastructure'],['Robotics/Automation'],trump enters race fusion power shares trump media technology group corp nyse djt surged nearly after company agreed merge fusion startup tae technologies billion deal under terms deal shareholders each company own roughly half shares trump media technology group corp nyse djt rose almost following billion merger agreement fusion startup tae technologies deal result shareholders both companies owning approximately half new entity
28,Pathos Communications' PathosMind Highlights Ten Newsworthy Leaders,"Continuously monitoring more than 50,000 news publishers worldwide each day and analysing conversations across a global network of hundreds of thousands of Pathos contacts, this agentic platform pinpoints individuals and ideas with true newsworthiness. Here a…",https://www.ibtimes.com/pathos-communications-pathosmind-highlights-ten-newsworthy-leaders-3793490,International Business Times,2025-12-22 19:45:27,"Pathos Communications' PathosMind identifies ten newsworthy leaders by analyzing global news publishers and conversations among Pathos contacts. The platform monitors over 50,000 news sources daily and assesses discussions from a vast network. This process helps in pinpointing influential figures and trending topics. The article underscores the significance of using data-driven insights to recognize key individuals and ideas that shape news narratives on a global scale.",['Construction Management'],['Predictive Analytics'],pathos communications pathosmind highlights ten newsworthy leaders continuously monitoring than 000 news publishers worldwide each day analysing conversations across global network hundreds thousands pathos contacts agentic platform pinpoints individuals ideas true newsworthiness pathos communications pathosmind identifies ten newsworthy leaders analyzing global news publishers conversations among pathos contacts platform monitors over 000 news sources daily assesses discussions vast network process helps pinpointing influential figures trending topics underscores significance using data driven insights recognize key individuals ideas shape news narratives global scale
29,Alphabet Buying Clean Energy Developer to Support Data Centers,"Alphabet, the parent of technology giant Google, has announced a definitive agreement to acquire Intersect, which provides data center and energy...",https://www.powermag.com/alphabet-buying-clean-energy-developer-to-support-data-centers/,POWER magazine,2025-12-22 19:36:59,"Alphabet, Google's parent company, is acquiring Intersect, a clean energy developer supporting data centers.","['Construction Management', 'Environmental Engineering']","['Predictive Analytics', 'Robotics/Automation']",alphabet buying clean energy developer support data centers alphabet parent technology giant google announced definitive agreement acquire intersect which provides data center energy alphabet google parent company acquiring intersect clean energy developer supporting data centers
30,Trump has always hated offshore wind. Now he’s moving to kill it.,The Trump administration has halted five already approved offshore wind projects despite rising electricity demand.,https://grist.org/energy/trump-has-always-hated-offshore-wind-now-hes-moving-to-kill-it/,Grist,2025-12-22 19:36:25,The Trump administration has stopped five approved offshore wind projects despite increasing electricity needs.,['Environmental Engineering'],['Predictive Analytics'],trump always hated offshore wind now moving kill trump administration halted five already approved offshore wind projects despite rising electricity demand trump administration stopped five approved offshore wind projects despite increasing electricity needs
31,Uruguay’s Only Art Fair Wagers That It Can Create a New Regional Market Force,"Este Arte, whose 12th edition opens to the public on January 5, aims to spur on an entire art ecosystem.",https://www.artnews.com/art-news/news/uruguays-only-art-fair-wagers-that-it-can-create-a-new-regional-market-force-1234767795/,ARTnews,2025-12-22 19:18:22,"Este Arte, Uruguay's sole art fair, seeks to cultivate a new regional art market. The fair's 12th edition, commencing on January 5, endeavors to invigorate the local art ecosystem.",['Construction Management'],['Generative Design'],uruguay only art fair wagers create new regional market force este arte whose 12th edition opens public january aims spur entire art ecosystem este arte uruguay sole art fair seeks cultivate new regional art market fair 12th edition commencing january endeavors invigorate local art ecosystem
32,Mawson Infrastructure Group Inc. Announces Compliance with Nasdaq Continued Listing Requirements,"MIDLAND, Pa., Dec. 22, 2025 (GLOBE NEWSWIRE) -- Mawson Infrastructure Group Inc. (NASDAQ: MIGI) (“Mawson” or the “Company”), a U.S. based technology company that designs, builds, and operates next-generation digital infrastructure platforms providing services…",https://www.globenewswire.com/news-release/2025/12/22/3209502/0/en/Mawson-Infrastructure-Group-Inc-Announces-Compliance-with-Nasdaq-Continued-Listing-Requirements.html,GlobeNewswire,2025-12-22 19:05:00,"Mawson Infrastructure Group Inc. (NASDAQ: MIGI) announces compliance with Nasdaq continued listing requirements, ensuring its position as a U.S. technology company specializing in digital infrastructure platforms.",['Construction Management'],['Predictive Analytics'],mawson infrastructure group inc announces compliance nasdaq continued listing requirements midland dec 2025 globe newswire mawson infrastructure group inc nasdaq migi mawson company based technology company designs builds operates next generation digital infrastructure platforms providing services mawson infrastructure group inc nasdaq migi announces compliance nasdaq continued listing requirements ensuring its position technology company specializing digital infrastructure platforms
33,What 2025 told us about the future of AI in architecture,"Throughout 2025, advances in artificial intelligence continued at a fast pace across architecture and construction. From new models by established AI companies such as OpenAI to bespoke tools aimed at the AEC industry, the architect's AI toolkit continued to …",https://archinect.com/news/article/150515107/what-2025-told-us-about-the-future-of-ai-in-architecture,Archinect,2025-12-22 18:38:00,"In 2025, advancements in artificial intelligence in architecture and construction progressed rapidly. Established AI companies like OpenAI introduced new models, and bespoke tools tailored for the AEC industry emerged, enhancing the architect's AI toolkit.",['Construction Management'],['Artificial Intelligence'],what 2025 told about future architecture throughout 2025 advances artificial intelligence continued fast pace across architecture construction new models established companies such openai bespoke tools aimed aec industry architect toolkit continued 2025 advancements artificial intelligence architecture construction progressed rapidly established companies openai introduced new models bespoke tools tailored aec industry emerged enhancing architect toolkit
