title,publication_date,source,url,description,ce_areas,ai_technologies,ce_area_count,ai_tech_count,is_classified
Singapore firms: Steady pay rises in 2026,2025-12-14T21:05:32Z,The Straits Times,https://www.straitstimes.com/business/spore-firms-to-keep-pay-rises-steady-at-3-to-6-in-2026-some-plan-smaller-bonuses-hr-firms,"Singapore firms project steady salary increments of 3-6% in 2026, though some plan smaller bonuses amid economic uncertainty. Read more at straitstimes.com. Read more at straitstimes.com.",,,0,0,False
"Microsoft snubbed: TIME's ""Person of the Year"" ignores Microsoft and Nadella in AI spotlight",2025-12-14T17:12:54Z,Windows Central,https://www.windowscentral.com/artificial-intelligence/times-person-of-the-year-is-all-about-the-architects-of-ai-and-microsoft-and-ceo-satya-nadella-are-embarrassingly-absent,"Time Magazine's famed ""Person of the Year"" was dedicated to the architects of AI this year, and the lack of representation for Microsoft betrays how far the company has fallen behind.",,,0,0,False
"Time magazine snubs Charlie Kirk, names AI 'architects' as 'Person of the Year'",2025-12-14T05:00:50Z,Freerepublic.com,https://freerepublic.com/focus/f-news/4357287/posts,Conservative podcaster Megyn Kelly slams 'genuinely wrong' pickTime magazine is facing backlash from one of conservative media’s biggest voices over its decision to snub Turning Point USA founder Charlie Kirk as its “Person of the Year” despite Kirk’s death m…,,,0,0,False
Economic Digest: Nepal’s Business News in a Snap,2025-12-14T02:15:17Z,Khabarhub.com,https://english.khabarhub.com/2025/14/511444/,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s latest economic indicators reveal an economy navigating cautious reform efforts amid ongoing …",,,0,0,False
‘DRILL BABY DRILL’: Trump’s energy-dominance plans and new legislation go hand-in-glove,2025-12-13T21:41:08Z,Wnd.com,https://www.wnd.com/2025/12/drill-baby-drill-trumps-energy-dominance-plans-new/,Adopting the bill 'would be the greatest gift imaginable coming out of Washington',,,0,0,False
AI agents help solar farm developer navigate shifting needs and regulations,2025-12-13T20:03:04Z,SiliconANGLE News,https://siliconangle.com/2025/12/13/ai-agents-help-solar-farm-developer-navigate-shifting-needs-regulations/,"Building community solar gardens at the pace Novel Energy Solutions LLC is keeping leaves little room for missteps. The Saint Paul, Minnesota, builder of community solar gardens has completed more than 75 projects since its 2012 founding, including a massive …","Structural, Environmental Engineering",,2,0,False
Fox Host Defends AI Data Center Needs Over Christmas Tree Farm: ‘Get On Board',2025-12-13T18:38:02Z,HuffPost,https://www.huffpost.com/entry/fox-business-dagen-mcdowell-defends-ai-data-center-needs-over-christmas-tree-farm_n_693d7b8ae4b0d58462beb5e8,"""The Big Money Show"" co-host Dagen McDowell said Maryland residents should ""buy a fake tree"" and let a proposed energy project ruin a local farm.",,,0,0,False
China Expands Commercial Focus in Latin America With New Cooperation Blueprint,2025-12-13T18:21:31Z,International Business Times,https://www.ibtimes.com/china-expands-commercial-focus-latin-america-new-cooperation-blueprint-3792565,"he new policy framework signals Beijing's intention to expand that role, saying it aims to ""promote stable industrial and supply chains"" and support Latin American countries",,,0,0,False
Nate Jones Gets AI Data Centers Wrong,2025-12-13T17:00:41Z,Next Big Future,https://www.nextbigfuture.com/2025/12/nate-jones-gets-ai-data-centers-wrong.html,"Nate Jones got the AI data centers in space story wrong. I like Nate Jones, he does a lot of useful work gathering AI news and staying on top of developments. He is wrong in this case. Starcloud already has an H100 in a satellite in space. It launched last mo…",,,0,0,False
The Best High-End Laptops for 2026,2025-12-13T17:00:00Z,PCMag.com,https://uk.pcmag.com/laptops/162031/the-best-high-end-laptops-for-2026,"If you’re shopping in the $1,500-plus tier, excellence isn’t optional. These elite laptops rate their price tags in our tests.
The definition of a ""premium laptop"" has undergone a fundamental change. It's no longer just about the thinnest chassis or the faste…",,,0,0,False
The Best High-End Laptops for 2026,2025-12-13T17:00:00Z,PCMag.com,https://me.pcmag.com/en/laptops/34145/the-best-high-end-laptops-for-2026,"If you’re shopping in the $1,500-plus tier, excellence isn’t optional. These elite laptops rate their price tags in our tests.
The definition of a ""premium laptop"" has undergone a fundamental change. It's no longer just about the thinnest chassis or the faste…",,,0,0,False
"Jimmy Kimmel tears into Time's AI-focused Person of the Year cover featuring Musk, Altman and other tech CEOs",2025-12-13T15:13:04Z,Fox News,https://www.foxnews.com/media/jimmy-kimmel-tears-times-ai-focused-person-year-cover-featuring-musk-altman-other-tech-ceos,"On Thursday's episode of ""Jimmy Kimmel Live,"" host Jimmy Kimmel tore into Time magazine's 2025 Person of the Year cover featuring the ""Architects of AI.""",,,0,0,False
"SpaceX sets $800 billion valuation, eyes 2026 IPO",2025-12-13T14:57:24Z,Rolling Out,https://rollingout.com/2025/12/13/spacex-sets-800-billion-eyes-2026-ipo/,"SpaceX is advancing plans for an insider share sale that establishes Elon Musk’s aerospace venture at approximately $800 billion, positioning the company for what could become the most significant initial public offering ever recorded. The valuation surpasses…",,,0,0,False
Why Humanoid Robots and Embodied AI Still Struggle in the Real World,2025-12-13T12:00:00Z,Scientific American,https://www.scientificamerican.com/article/why-humanoid-robots-and-embodied-ai-still-struggle-in-the-real-world/,General-purpose robots remain rare not for a lack of hardware but because we still can’t give machines the physical intuition humans learn through experience,,,0,0,False
Economic Digest: Nepal’s Business News in a Snap,2025-12-13T02:15:07Z,Khabarhub.com,https://english.khabarhub.com/2025/13/511321/,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s economic landscape this week reflects a mix of volatility, structural developments, and secto…",Structural,,1,0,False
"Georgia Power, PSC staff strike deal for $16B expansion to power data centers | Chattanooga Times Free Press",2025-12-13T00:25:57Z,Chattanooga Times Free Press,https://www.timesfreepress.com/news/2025/dec/12/georgia-power-psc-staff-strike-deal-for-16b/,"Georgia Power and the Public Service Commission's staff unveiled a deal Wednesday that would allow the utility to add about 10,000 megawatts of power supplies in just five years, an unprecedented expansion that's mostly to serve data centers.",,,0,0,False
Sam Altman Got What He Wanted,2025-12-12T20:50:22Z,The Atlantic,https://www.theatlantic.com/technology/2025/12/trump-ai-executive-order/685243/,For now,,,0,0,False
"Cost nearly €800,000: Amateur club’s pitch ruined by Bundesliga turf",2025-12-12T20:10:00Z,Onefootball.com,https://onefootball.com/en/news/cost-nearly-800000-amateur-clubs-pitch-ruined-by-bundesliga-turf-42088398,"The first team of SSV Kulkwitz may only play in the 2nd Kreisklasse, but their home pitch is of the highest standard. However, the resulting costs are now ruining the amateur club from Saxony.Regular ...",,,0,0,False
Why this fundie is backing ASX mining shares over banks in 2026,2025-12-12T19:30:00Z,Motley Fool Australia,https://www.fool.com.au/2025/12/13/why-this-fundie-is-backing-asx-mining-shares-over-banks-in-2026/,"Wilson Asset Management lead portfolio manager Matthew Haupt explains his views. 
The post Why this fundie is backing ASX mining shares over banks in 2026 appeared first on The Motley Fool Australia.",Geotechnical,,1,0,False
Oracle denies report on OpenAI data center delays but stocks crash continues,2025-12-12T19:26:13Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/oracle-share-price-stocks-openai-data-centre/articleshow/125939711.cms,"Oracle shares are up just 13 per cent now for the year, having erased all the gains from a 36 per cent jump in September, when it reported a massive backlog of over $450 billion — mostly tied to OpenAI.",,,0,0,False
"AI's economic impact 'a boom, not a bubble,' Lancaster Chamber speaker says",2025-12-12T19:08:19Z,LancasterOnline,https://lancasteronline.com/business/local_business/ais-economic-impact-a-boom-not-a-bubble-lancaster-chamber-speaker-says/article_e87a8c7f-9fe0-4e6a-99f9-93a3b2975aa3.html,"The unprecedented investment in artificial intelligence data centers will fuel the national and local economies in 2026 and beyond, experts said Friday during the Lancaster Chamber’s annual Economic Forecast Breakfast.",,Machine Learning,0,1,False
EARMILK's Top 50 Albums of 2025,2025-12-12T18:53:40Z,Earmilk.com,https://earmilk.com/2025/12/12/earmilks-top-50-albums-of-2025/,"In the making of this list and the yearly introduction that preludes it, the focus was to highlight cultural moments of awe from the year, while paying homage to the…",,,0,0,False
Oracle denies report on OpenAI data center delays,2025-12-12T18:48:27Z,The Times of India,https://economictimes.indiatimes.com/tech/technology/oracle-denies-report-on-openai-data-center-delays/articleshow/125939214.cms,"Oracle denied on Friday a media report that it was delaying OpenAI-related data centers, following investor worries over its debt-fueled AI infrastructure buildout. Shares of Oracle, which had fallen 3.6% following the report, pared some losses to be down by …",Transportation,,1,0,False
Oracle denies report on OpenAI data center delays,2025-12-12T18:43:38Z,Livemint,https://www.livemint.com/companies/news/oracle-denies-report-on-openai-data-center-delays-11765565018826.html,ORACLE-OPENAI:Oracle denies report on OpenAI data center delays,,,0,0,False
New MIT program to train military leaders for the AI age,2025-12-12T18:10:00Z,Mit.edu,https://news.mit.edu/2025/applied-ai-program-train-military-leaders-ai-age-1212,A new certificate program offered by MIT departments of MechE and EECS teaches AI techniques designed to equip naval officers with skills needed to solve the military’s hardest problems.,,,0,0,False
AI Campus Developer Fermi Plunges After Tenant Terminates Lease,2025-12-12T16:38:17Z,Financial Post,https://financialpost.com/pmn/business-pmn/ai-campus-developer-fermi-plunges-after-tenant-terminates-lease,"Fermi Inc. plunged as much as 46% on Friday after the power developer, co-founded by former Texas governor Rick Perry, said a tenant terminated a $150 million agreement tied to its proposed artificial intelligence campus in West Texas.",,Machine Learning,0,1,False
Oracle denies report on OpenAI data center delays,2025-12-12T16:17:37Z,CNA,https://www.channelnewsasia.com/business/oracle-denies-report-openai-data-center-delays-5579506,"Dec 12 : Oracle denied on Friday a media report that it was delaying OpenAI-related data centers, following investor worries over its debt-fueled AI infrastructure buildout.Bloomberg News had earlier in the day reported that Oracle had pushed back the complet…",Transportation,,1,0,False
Imperial Valley city sues to force environmental review of massive data center project,2025-12-12T15:49:55Z,KPBS,https://www.kpbs.org/news/environment/2025/12/12/imperial-valley-city-sues-to-force-environmental-review-of-massive-data-center-project,A Huntington Beach-based developer is proposing to build a nearly one million-square-foot warehouse for artificial intelligence development in the center of the Imperial Valley.,Environmental Engineering,Machine Learning,1,1,True
AI data center boom sparks fears of glut amid lending frenzy,2025-12-12T15:40:09Z,Fortune,https://fortune.com/2025/12/12/ai-data-center-boom-sparks-fears-of-glut-amid-lending-frenzy/,"“Momentum is strong, but if this is irrational exuberance, investors will lose when the music stops,” said Squared Capital's Sadek Wahba.",,,0,0,False
"AI is powering Trump’s economy, but American voters are getting worried",2025-12-12T15:35:19Z,Fortune,https://fortune.com/2025/12/12/voter-backlash-ai-data-centers-affordability-trump-elections-midterms/,In both political parties there’s a sense that more thought-out AI strategies will be needed. One Trump adviser calls AI a “political football.”,,,0,0,False
South Carolina’s Abandoned Nuclear Plants Could be Revived as Firm Offers $2.7B,2025-12-12T15:31:17Z,Insurance Journal,https://www.insurancejournal.com/news/southeast/2025/12/12/850931.htm,South Carolina’s stalled nuclear power project could finally finish construction as a private company has offered to pay $2.7 billion to the state-owned utility and a small share of the power if they can reach an agreement to get the …,Structural,,1,0,False
Corporate Democrats Are Foolishly Surrendering the AI Fight,2025-12-12T14:57:03Z,Thenation.com,https://www.thenation.com/article/politics/democrats-ai-regulation/,"Jeet Heer



Voters want the party to get tough on the industry. But Democratic leaders are following the money instead.




The post Corporate Democrats Are Foolishly Surrendering the AI Fight appeared first on The Nation.",,,0,0,False
"AI datacenter boom could end badly, Goldman Sachs warns",2025-12-12T14:24:50Z,Theregister.com,https://www.theregister.com/2025/12/12/ai_datacenter_investments_goldman/,"Bank sketches four scenarios in which monetization falters or demand swamps supply by 2030
Goldman Sachs warns that datacenter investments may fail to pay off if the industry is unable to monetize AI models, but hedges its bets by saying that demand could als…",,,0,0,False
"Disney does a dubious deal with OpenAI, even as trust in AI wanes",2025-12-12T14:00:41Z,SiliconANGLE News,https://siliconangle.com/2025/12/12/disney-dubious-deal-openai-even-trust-ai-wanes/,Artificial intelligence has now conquered the most hard-ass copyright defender of all — Disney — as the media giant did a $1 billion deal with OpenAI this week to allow use of a bunch of characters in its Sora video creation model. Disney CEO Bob Iger may fee…,,Machine Learning,0,1,False
How new quality productivity drives china’s sustainable development: Evidence from dynamic indicator evolution,2025-12-12T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338804,"New Quality Productivity (NPQ) plays a pivotal role in driving China’s transition toward sustainable economic development. This study constructs a multidimensional evaluation framework incorporating thirteen indicators across digitalization, green development…",Construction Management,,1,0,False
"Data centers need electricity fast, but utilities need years to build power plants – who should pay?",2025-12-12T13:56:38Z,The Conversation Africa,https://theconversation.com/data-centers-need-electricity-fast-but-utilities-need-years-to-build-power-plants-who-should-pay-271048,"How many data centers will be built – and how much electricity they’ll need – is uncertain. Being prepared costs money, but so does being unprepared.",,,0,0,False
"ABS, ENEOS, NYK Line, and SEACOR Holdings Launch Joint Study to Develop a Methanol Marine Fuel Supply Network in the U.S.",2025-12-12T13:30:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/12/3204627/0/en/ABS-ENEOS-NYK-Line-and-SEACOR-Holdings-Launch-Joint-Study-to-Develop-a-Methanol-Marine-Fuel-Supply-Network-in-the-U-S.html,"American Bureau of ShippingENEOS CorporationNippon Yusen Kabushiki KaishaSEACOR Holdings Inc.  MIAMI, Dec.  12, 2025  (GLOBE NEWSWIRE) -- American Bureau...",,,0,0,False
Hedge-Fund Manager Who Got Stock Rally Wrong Still Nabs 79% Gain,2025-12-12T13:24:31Z,Financial Post,https://financialpost.com/pmn/business-pmn/hedge-fund-manager-who-got-stock-rally-wrong-still-nabs-79-gain,Bill Harnisch didn’t believe in the stock rally. He still crushed it.,,,0,0,False
Hedge-fund manager who got stock rally wrong still nabs 79% gain,2025-12-12T13:24:31Z,Financial Post,https://financialpost.com/investing/hedge-fund-manager-nabs-gains,"Peconic Partners, established in 2004, seeks to invest in companies that grow faster than the economy in the long run",,,0,0,False
CI Global Asset Management Announces December 2025 Distributions for the CI ETFs,2025-12-12T12:05:18Z,Financial Post,https://financialpost.com/pmn/business-wire-news-releases-pmn/ci-global-asset-management-announces-december-2025-distributions-for-the-ci-etfs,"NOT FOR DISSEMINATION TO U.S. NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES OF AMERICA TORONTO — CI Global Asset Management (“CI GAM”) announces the following regular cash distributions for the month or quarter ending December 31, 2025 in respec…",,,0,0,False
AI and digital twins: a powerful partnership for urban management,2025-12-12T12:00:00Z,ComputerWeekly.com,https://www.computerweekly.com/feature/AI-and-digital-twins-a-powerful-partnership-for-urban-management,"Digital twin virtualisations are increasingly being used to design and reconsider urban environments, with city planning, management and operations set to benefit tremendously from AI capabilities",Structural,,1,0,False
Evolving economic conditions — not AI — will drive cautious 2026 hiring,2025-12-12T10:27:00Z,Hrdive.com,https://www.hrdive.com/news/economic-conditions-will-drive-cautious-2026-hiring/807742/,"“What we’re seeing is employers responding to the economic signals with a measured and deliberate approach,” ManpowerGroup’s CEO said.",,,0,0,False
"Cognizant’s Vizag campus to house 8,000 employees",2025-12-12T09:09:41Z,BusinessLine,https://www.thehindubusinessline.com/news/cognizants-vizag-campus-to-house-8000-employees/article70388059.ece,Andhra Pradesh Chief Minister N Chandrababu Naidu has said that offering land at 99 paise an acre proved to be a ‘game-changer’ in attracting investments to the State.,,,0,0,False
 Fancy a building site? Barca offers helicopter flights over Camp Nou!,2025-12-12T07:32:00Z,Onefootball.com,https://onefootball.com/en/news/fancy-a-building-site-barca-offering-helicopter-rides-over-camp-nou-42084764,"We were able to see the current state of the new Camp Nou at least partially during the Champions League match between FC Barcelona and Eintracht Frankfurt on Tuesday.However, if the view from the TV ...",Structural,,1,0,False
"Andhra CM Naidu To Lay Foundation For Cognizant Campus, Eight Other Companies In Visakhapatnam",2025-12-12T04:27:17Z,Ndtvprofit.com,https://www.ndtvprofit.com/business/andhra-cm-naidu-to-lay-foundation-for-cognizant-campus-eight-other-companies-in-visakhapatnam,Andhra Pradesh Chief Minister N Chandrababu Naidu will lay the foundation for the construction of global  IT company Cognizant and eight other companies in Visakhapatnam on Friday.,"Structural, Geotechnical",,2,0,False
Central Economic Work Conference concludes; Five Musts and Eight Key Tasks; US-Japan-China; H200s,2025-12-12T01:17:47Z,Sinocism.com,https://sinocism.com/p/central-economic-work-conference-100,"The Central Economic Work Conference concluded Thursday. I have posted a full translation of the readout here. There were no surprises as it mostly flshed out what we saw from the Monday Politburo meeting readout, and no indications of more aggressive stimulu…",,,0,0,False
"AKUH tackling doctors’ migration with good pay, world-class equipment – Khalani",2025-12-12T00:24:58Z,The Punch,https://punchng.com/akuh-tackling-doctors-migration-with-good-pay-world-class-equipment-khalani/,"Discover how Aga Khan University Hospital tackles doctor migration in Africa with competitive pay, world-class equipment, and advanced training programs.

Read More: https://punchng.com/akuh-tackling-doctors-migration-with-good-pay-world-class-equipment-khala…",,,0,0,False
Passive determination of anisotropic compressive strength of 3D printed concrete using multiple neural networks enhanced with explainable machine learning (XML),2025-12-12T00:00:00Z,Nature.com,https://www.nature.com/articles/s41598-025-11068-w,Scientific Reports - Passive determination of anisotropic compressive strength of 3D printed concrete using multiple neural networks enhanced with explainable machine learning (XML),Structural,Machine Learning,1,1,True
Students struggle with 'workforce anxiety' trying prepare for jobs in AI future,2025-12-11T23:42:51Z,ABC News (AU),https://www.abc.net.au/news/2025-12-12/ai-jobs-student-anxiety-vce-university-atar-employment/106123826,"A Victorian Parliamentary Inquiry report finds youth career support is ""severely lacking"" as students fear AI is threatening white-collar industries.",,,0,0,False
Trump says every AI plant being built in US will be self-sustaining with their own electricity,2025-12-11T22:32:15Z,Fox News,https://www.foxnews.com/politics/trump-says-every-ai-plant-being-built-us-self-sustaining-own-electricity,"President Trump pushes back on a Wall Street Journal report saying China’s huge power grid gives it an AI edge, insisting new U.S. data centers will make their own energy.",,,0,0,False
"Trump administration's top 'scientific priority is AI,' energy secretary says",2025-12-11T20:41:35Z,Fox News,https://www.foxnews.com/media/trump-administrations-top-scientific-priority-ai-energy-secretary-says,"Energy Secretary Chris Wright believes AI will help achieve nuclear fusion within years, creating a synergistic relationship to solve the growing power demands of data centers.",,,0,0,False
SecureTech Directs AI UltraProd’s U.S. Expansion Through High-Growth ADU Market,2025-12-11T18:30:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/11/3204230/0/en/SecureTech-Directs-AI-UltraProd-s-U-S-Expansion-Through-High-Growth-ADU-Market.html,"SecureTech formalizes U.S. “beachhead” strategy for its AI-driven construction subsidiary, targeting the rapidly growing Accessory Dwelling Unit sector and future lighthouse projects",Structural,,1,0,False
The architects of AI are Time's 2025 Person of the Year,2025-12-11T18:21:32Z,CBS News,https://www.cbsnews.com/news/the-architects-of-ai-are-times-2025-person-of-the-year/,"Time magazine named ""the architects of AI"" its 2025 Person of the Year on Thursday, calling out tech industry leaders behind the rise in artificial intelligence.",,Machine Learning,0,1,False
Palantir Just Scored a Deal to Build Nuclear Submarines. Should You Build a Position in PLTR Stock?,2025-12-11T18:15:30Z,Barchart.com,https://www.barchart.com/story/news/36578370/palantir-just-scored-a-deal-to-build-nuclear-submarines-should-you-build-a-position-in-pltr-stock,"Palantir is a mega-cap AI stock that continues to gain traction, driven by enterprise partnerships, even as it trades at an elevated multiple.",,,0,0,False
Shares shrug off dip in tech stocks amid renewed global growth optimism,2025-12-11T17:35:52Z,The Irish Times,https://www.irishtimes.com/business/2025/12/11/shares-shrug-off-dip-in-tech-stocks-amid-renewed-global-growth-optimism/,Oracle’s disappointing quarterly forecasts led to declines in some of the world’s biggest tech names,,,0,0,False
Oracle shares tumble after missing revenue targets,2025-12-11T16:04:28Z,Rolling Out,https://rollingout.com/2025/12/11/oracle-stock-plunges-after-earnings-miss/,"Wall Street delivered a harsh verdict on Oracle’s ambitious artificial intelligence strategy, sending shares down 11 percent in early trading after the software giant reported cloud revenue that failed to meet investor expectations despite a massive surge in …",,Machine Learning,0,1,False
Selected Articles: Remembering JFK and Israel’s Dimona History of Nuclear Weapons,2025-12-11T15:06:51Z,Globalresearch.ca,https://www.globalresearch.ca/selected-articles-remembering-jfk-israel-dimona-history-nuclear-weapons/5908700,"Remembering JFK and Israel’s Dimona History of Nuclear Weapons
By Renee Parsons, December 11, 2025
The night before the 1960 inauguration, JFK met with outgoing President Eisenhower and his Secretary of State who briefed him on their concerns about …
The post…",,,0,0,False
Drone Operations and Opportunities Soaring as Multi-Billion Dollar Industry is Expected to Significantly Grow,2025-12-11T14:26:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2025/12/11/3204010/0/en/Drone-Operations-and-Opportunities-Soaring-as-Multi-Billion-Dollar-Industry-is-Expected-to-Significantly-Grow.html,"MarketNewsUpdates News Commentary  NEW YORK, Dec.  11, 2025  (GLOBE NEWSWIRE) -- Drone opportunities are indeed soaring, generating impressive Billion...",,Robotics/Automation,0,1,False
Statistical approaches for service delivery differentials as assessed through a composite indicator: Application to Ugandan local governments,2025-12-11T14:00:00Z,Plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0338264,"This study assesses differentials in service delivery among Ugandan local governments through a composite indicator that consolidates essential performance data from the education, health, and water sectors. The composite indicator scores as an outcome variab…",,,0,0,False
"Polytechnic universities focus on practical, career-oriented skills, offering an alternative to traditional universities",2025-12-11T13:37:21Z,The Conversation Africa,https://theconversation.com/polytechnic-universities-focus-on-practical-career-oriented-skills-offering-an-alternative-to-traditional-universities-268349,Polytechnic universities try to incorporate skills-based learning into education.,,,0,0,False
"Even with Trump’s support, coal power remains expensive – and dangerous",2025-12-11T13:36:17Z,The Conversation Africa,https://theconversation.com/even-with-trumps-support-coal-power-remains-expensive-and-dangerous-269668,"The Trump administration has made several efforts to support the coal industry, but even if coal were free, the economics aren’t in its favor.",,,0,0,False
